"","V1"
"1",838.190864154475
"2",708.823119453417
"3",601.230937866202
"4",494.517498450562
"5",336.086461756719
"6",220.879921935877
"7",128.391718601475
"8",33.455739926043
"9",-70.9827692861281
"10",-187.797051550133
"11",-301.587244503926
"12",-398.43956044744
"13",-409.90513485405
"14",-498.166246802803
"15",-568.758615238157
"16",-534.221600553829
"17",-475.153175951884
"18",-435.453132139766
"19",-364.445690606918
"20",-258.880997806078
"21",-96.3232882686161
"22",50.1587287483171
"23",178.177017070549
"24",305.657501747937
"25",405.990837781706
"26",461.168842847705
"27",490.275807606648
"28",540.907043284588
"29",532.592072592083
"30",554.206471325421
"31",518.964072531516
"32",427.389525878579
"33",312.879495353273
"34",127.768511276786
"35",-62.9778615448031
"36",-312.414774383296
"37",-498.083788212307
"38",-678.360438423772
"39",-745.052693747714
"40",-758.822546734712
"41",-660.208089795592
"42",-750.030103208519
"43",-775.574956856412
"44",-778.953977494823
"45",-673.947790382284
"46",-529.25193966848
"47",-70.0467955151425
"48",80.6800889042706
"49",466.540305316737
"50",404.9717299821
"51",344.043290375314
"52",268.05799688617
"53",194.619353816911
"54",107.769311545438
"55",28.7015784369191
"56",-61.3500760133929
"57",-136.740513065904
"58",-208.343068650654
"59",-283.857961138051
"60",-363.971470849687
"61",-399.334788545927
"62",-385.430235838718
"63",-474.793561436387
"64",-437.964142716996
"65",-427.73995708141
"66",-453.620786648771
"67",-444.630831536037
"68",-412.220204046683
"69",-410.053091797874
"70",-338.498144383953
"71",-279.343325588445
"72",-212.862625268242
"73",-111.665290655926
"74",-80.7593936706253
"75",10.9394793537167
"76",45.9267752058859
"77",116.032164669254
"78",157.431384071311
"79",219.838439392508
"80",247.078165576563
"81",184.447424162904
"82",124.680955233744
"83",-1.15545450877289
"84",-136.616722382887
"85",-329.844163432857
"86",-447.513055231359
"87",-599.93109688934
"88",-591.159999632649
"89",-465.937562940025
"90",-445.584262652521
"91",-452.386152817283
"92",-467.254233065766
"93",-327.468790358393
"94",-159.325019490903
"95",318.997069662657
"96",531.2102950244
"97",394.514076634822
"98",322.071789992806
"99",268.140211839343
"100",186.522765557481
"101",128.623378565389
"102",93.9844343316986
"103",21.8000841357857
"104",-71.9954499442038
"105",-142.556567075252
"106",-236.456131744926
"107",-352.593881696871
"108",-487.255607609588
"109",-494.292001755122
"110",-548.384878586119
"111",-643.86947115782
"112",-630.284632881662
"113",-571.927809061429
"114",-522.09824177473
"115",-458.519583341233
"116",-393.441390702832
"117",-312.12728874492
"118",-227.445357156537
"119",-141.082982841562
"120",-28.2135720045017
"121",22.3542183431928
"122",53.9129128659806
"123",68.7475279674773
"124",76.7541191173295
"125",119.46297151032
"126",166.8504414012
"127",188.931159996828
"128",141.330592547981
"129",15.0462357614797
"130",-85.1865304747107
"131",-179.601275237965
"132",-330.352267436468
"133",-506.680169741471
"134",-589.05960361772
"135",-644.09760856259
"136",-553.655232913292
"137",-401.169610216525
"138",-348.46054757067
"139",-351.313427703272
"140",-335.438576583921
"141",-239.915605404351
"142",-98.8390313209593
"143",362.711815065318
"144",588.250432346107
"145",3.86436892964957
"146",-33.3572100165397
"147",-74.8693977819944
"148",-104.968087111296
"149",-174.948666510223
"150",-250.668068469527
"151",-242.231457943731
"152",-308.103929602075
"153",-304.039200111224
"154",-286.809452449244
"155",-244.213744079329
"156",-181.837186866278
"157",14.670204027484
"158",146.627289318293
"159",117.499508943188
"160",171.448680071173
"161",183.47802533264
"162",174.888967704484
"163",143.358516809419
"164",137.337774304464
"165",136.863770329491
"166",152.769076418163
"167",227.76695285913
"168",235.38463638404
"169",221.714108436561
"170",249.248527432072
"171",261.673538599419
"172",251.885821088049
"173",235.416278409134
"174",197.541879554313
"175",120.877862673708
"176",114.950293955586
"177",59.2572648285277
"178",-42.1652565213481
"179",-265.450257502461
"180",-455.751432186497
"181",-669.208875441553
"182",-806.496648160981
"183",-904.621236698442
"184",-841.54314386839
"185",-728.198965506361
"186",-680.807978999054
"187",-717.355045546952
"188",-756.049977959416
"189",-656.771882814091
"190",-523.014781375792
"191",21.6424827504015
"192",234.913886086033
"193",150.099999196586
"194",106.765339629422
"195",54.2678172983974
"196",-9.08802051219755
"197",-48.2971321473333
"198",-103.716029955272
"199",-135.949468913167
"200",-164.762144021239
"201",-156.507382725103
"202",-176.256989365746
"203",-92.1096534854778
"204",-39.5501298729841
"205",76.2719124159648
"206",158.975669113966
"207",82.0269039669365
"208",145.487746632257
"209",153.261720799069
"210",145.350538968242
"211",120.131488650573
"212",135.455937658229
"213",213.561170460374
"214",298.280001005298
"215",428.725919996956
"216",505.326382502581
"217",526.87357614544
"218",565.160853292607
"219",613.574040828998
"220",647.209987201125
