Demand,LockDown
4251.2,0
4092.5,0
3958.9,0
3785.3,0
3673.7,0
3574.7,0
3522.8,0
3524.3,0
3534.2,0
3543.7,0
3545.5,0
3545,0
3577.6,0
3629.7,0
3607.7,0
3665.6,0
3706.9,0
3723.3,0
3747.4,0
3731.1,0
3750.7,0
3723.7,0
3727.7,0
3725.8,0
3727.9,0
3757.8,0
3804.5,0
3891.3,0
3970,0
4110.3,0
4267,0
4416.9,0
4567.1,0
4691.2,0
4749.6,0
4738.7,0
4683.1,0
4581.3,0
4470.9,0
4417.3,0
4425.4,0
4336.3,0
4246.1,0
4162.8,0
4119.1,0
4123.4,0
4347.5,0
4337.4,0
4117.9,0
3979.3,0
3896.5,0
3785.5,0
3686.9,0
3626.9,0
3614.9,0
3650.9,0
3732.8,0
3855.4,0
4013.4,0
4139.5,0
4350.7,0
4518.6,0
4479,0
4549.7,0
4593.4,0
4575.4,0
4578.2,0
4575,0
4541.9,0
4556.9,0
4611.7,0
4557.4,0
4567.9,0
4592.8,0
4622,0
4541.4,0
4629.5,0
4581,0
4672.1,0
4754.7,0
4842.4,0
4851.3,0
4852,0
4745.3,0
4743.6,0
4658.7,0
4604.4,0
4632.1,0
4629,0
4545.2,0
4462.4,0
4294.9,0
4204.6,0
4199.3,0
4404,0
4424.5,0
4263.1,0
4104.4,0
3966.4,0
3838.9,0
3722.6,0
3661.8,0
3638.1,0
3713.2,0
3796.6,0
3896.7,0
4079.7,0
4223.8,0
4437.5,0
4615.6,0
4554.3,0
4602,0
4615.1,0
4613.7,0
4660.8,0
4599,0
4610.2,0
4635.8,0
4660.1,0
4570.5,0
4499.2,0
4524,0
4495.3,0
4525.1,0
4499.2,0
4567.9,0
4610.8,0
4744.9,0
4841.6,0
4865.5,0
4871.8,0
4807.4,0
4772.2,0
4736.4,0
4626.5,0
4655.1,0
4682.6,0
4645.4,0
4536.4,0
4430.5,0
4374.5,0
4355.8,0
4574.9,0
4554.3,0
4369.8,0
4199.7,0
4111.8,0
4002.3,0
3880.2,0
3855.1,0
3801.4,0
3866.8,0
3923.1,0
4039.3,0
4206.9,0
4338.1,0
4582,0
4731.5,0
4698.5,0
4709.7,0
4725.4,0
4720.3,0
4737.9,0
4754.3,0
4714.4,0
4771.9,0
4801.2,0
4865.6,0
4864.3,0
4938.1,0
4954.1,0
4995.8,0
5088.4,0
5155.1,0
5263.2,0
5403.1,0
5462.7,0
5603.3,0
5560.7,0
5545,0
5412.6,0
5221.3,0
5147.2,0
5112.1,0
5030.1,0
4957.4,0
4775.9,0
4610.9,0
4510.1,0
4436.3,0
4666.1,0
4666.7,0
4438.3,0
4315.7,0
4230.8,0
4082.2,0
4018.8,0
3968.1,0
3932.9,0
3970.2,0
4054.1,0
4112.2,0
4273.1,0
4424.3,0
4631.1,0
4797.6,0
4753.9,0
4888.5,0
4946.9,0
4972.7,0
4980.9,0
4954.5,0
5021,0
5041.1,0
5108,0
5144.1,0
5206.5,0
5308.7,0
5339.1,0
5442.6,0
5612.4,0
5768.5,0
5976.7,0
6228.8,0
6330.5,0
6509.7,0
6459.5,0
6505.5,0
6467.6,0
6395,0
6133,0
5981.7,0
5833.8,0
5670.6,0
5449.4,0
5227.8,0
4998.9,0
4863,0
5058.5,0
4980.5,0
4701.8,0
4498.9,0
4332.4,0
4174.7,0
4009.2,0
3883.5,0
3770.8,0
3764.6,0
3863.3,0
3912.9,0
3966.5,0
4047.5,0
4209.5,0
4362.3,0
4437.1,0
4633.5,0
4837.1,0
5028.1,0
5248.6,0
5503.1,0
5724.6,0
5993.6,0
6229.6,0
6368.4,0
6573.1,0
6750.5,0
6938.5,0
7125.9,0
7333,0
7476.7,0
7692,0
7955.1,0
7988.8,0
7861,0
7320.5,0
7016.9,0
6792.7,0
6448.7,0
6172,0
5961.9,0
5924.6,0
5766.2,0
5563.2,0
5293.7,0
5074,0
4900.7,0
5000,0
4838.6,0
4549.6,0
4361.3,0
4249.1,0
4102.4,0
4018,0
3934.2,0
3879,0
3929.2,0
3966.9,0
3929.3,0
3943.9,0
3940,0
3966.9,0
4055.3,0
4025,0
4072.3,0
4164,0
4281.7,0
4411.1,0
4494.1,0
4479.7,0
4476.8,0
4439.9,0
4450.1,0
4482.3,0
4542.4,0
4531.6,0
4567.2,0
4621.4,0
4680.4,0
4759.4,0
4834.3,0
4887.9,0
4987.2,0
5011.3,0
5052.7,0
5022.5,0
5000.5,0
4931.3,0
4908.3,0
4926.6,0
4846.9,0
4705,0
4557.1,0
4443.5,0
4396,0
4631.2,0
4613.5,0
4379.4,0
4233.5,0
4118.9,0
3981,0
3911.5,0
3880.5,0
3915.6,0
3938.3,0
4072.1,0
4133.4,0
4366.4,0
4574.2,0
4830.1,0
5042.4,0
5078.6,0
5166.5,0
5308.1,0
5298.7,0
5352.5,0
5386.8,0
5430.4,0
5431.1,0
5430.9,0
5374.6,0
5452.2,0
5526.9,0
5619.3,0
5558.6,0
5500,0
5489.9,0
5488.9,0
5555.1,0
5700.1,0
5796.2,0
5635.5,0
5560.3,0
5361,0
5249.2,0
5114.1,0
5064,0
5036.6,0
4927.2,0
4770.6,0
4592.8,0
4433.3,0
4391,0
4592.4,0
4603,0
4384.9,0
4250,0
4155.2,0
4012.9,0
3903.5,0
3813.2,0
3826.4,0
3934.5,0
4030.2,0
4096.6,0
4286.3,0
4423.1,0
4661.8,0
4810.9,0
4854.7,0
4927.4,0
4887.2,0
4874.1,0
4848.8,0
4894.4,0
4963,0
4973.3,0
4930.5,0
4913.4,0
4938.1,0
4929.4,0
4863.7,0
4858.4,0
4789.2,0
4850,0
4885.3,0
4984.1,0
5068.8,0
5103.1,0
5076.5,0
5068.2,0
4960.4,0
4941,0
4824.5,0
4800.9,0
4811.1,0
4719,0
4577.9,0
4421.6,0
4307.3,0
4237.9,0
4446.1,0
4439.3,0
4230.5,0
4155.6,0
4093,0
3988.8,0
3879,0
