"","V1"
"96385",5010.44957929206
"96386",4789.84944111356
"96387",4704.90710723136
"96388",4531.05451020485
"96389",4422.96374152464
"96390",4302.73643646879
"96391",4262.20535443528
"96392",4229.83125012646
"96393",4232.47869424457
"96394",4376.58443077074
"96395",4392.82847395789
"96396",4557.36738050109
"96397",4939.29797047671
"96398",5494.667411648
"96399",5882.70572221939
"96400",6168.79904017904
"96401",6479.46754005002
"96402",6521.48154836783
"96403",6342.64796625972
"96404",6060.03634777662
"96405",5608.81719311301
"96406",5282.47402788155
"96407",4941.84494245363
"96408",4877.24219645111
"96409",4804.58202764981
"96410",4696.33717056237
"96411",4767.33869363682
"96412",4798.76389834978
"96413",4784.86856477903
"96414",4903.85011898795
"96415",5120.30714366911
"96416",5248.25150790766
"96417",5468.59254518036
"96418",5812.98259936831
"96419",6162.83149105705
"96420",6603.25006659903
"96421",6911.82009732359
"96422",6738.02826256086
"96423",6499.52308675331
"96424",6334.71546433547
"96425",6170.8804597243
"96426",5991.65513163896
"96427",5775.74462083521
"96428",5621.96191195719
"96429",5350.53850704658
"96430",5184.28337860222
"96431",5008.65961643106
"96432",5173.02515585412
"96433",5007.98582455256
"96434",4802.35572610189
"96435",4711.85012387146
"96436",4597.3579225542
"96437",4354.74672162022
"96438",4295.3554845773
"96439",4234.76914138877
"96440",4123.67820815468
"96441",4185.65144466336
"96442",4210.18344166574
"96443",4271.70009557213
"96444",4574.55353625516
"96445",4876.9121106367
"96446",5289.49992424315
"96447",5740.99886133111
"96448",5888.33405857429
"96449",6193.33060644173
"96450",6415.39561371402
"96451",6396.49012331451
"96452",6264.59202080567
"96453",6171.57380366909
"96454",5990.03408517281
"96455",5725.91292026398
"96456",5473.274313688
"96457",5644.74965675589
"96458",5544.08259682746
"96459",5390.08074793489
"96460",5572.85580669873
"96461",5659.34319372431
"96462",5684.69804581771
"96463",5635.70503368771
"96464",5705.06558978688
"96465",6010.1944861334
"96466",6107.95349822997
"96467",6490.31432538183
"96468",6764.93889614312
"96469",6970.78529561061
"96470",6756.61845042209
"96471",6626.07255128691
"96472",6535.53801869834
"96473",6366.96553661172
"96474",6233.60471524204
"96475",5989.89771474791
"96476",5909.87960627197
"96477",5681.57176941924
"96478",5441.62006057529
"96479",5314.58733637067
"96480",5582.05889203295
"96481",4881.8971827952
"96482",5439.54218558842
"96483",4938.73611275182
"96484",4725.27799403432
"96485",4581.35371188622
"96486",4556.00556527093
"96487",4403.04206892473
"96488",4433.09139718226
"96489",4443.07190727078
"96490",4468.21686716167
"96491",4456.89061607261
"96492",4683.66936531369
"96493",4725.26044768972
"96494",4937.67670987573
"96495",5086.95559752253
"96496",5265.32986624503
"96497",5555.51730275205
"96498",5720.72593087735
"96499",5767.90291208201
"96500",5730.41826068481
"96501",5636.62426092943
"96502",5522.37608356043
"96503",5386.24940478928
"96504",5283.9800749595
"96505",5317.16318284189
"96506",5166.00983146976
"96507",5105.60779378944
"96508",5133.0317086866
"96509",5306.031524719
"96510",5387.80395993818
"96511",5584.55696215514
"96512",5763.54001961766
"96513",5908.53891123366
"96514",6205.65170458267
"96515",6481.17544063474
"96516",6863.96995577744
"96517",7084.14022491615
"96518",6894.84666543557
"96519",6645.20134222425
"96520",6498.2029323999
"96521",6383.98745604034
"96522",6133.76126684678
"96523",6098.6939820737
"96524",5934.2232366384
"96525",5706.04011200847
"96526",5540.7706399191
"96527",5407.1411553963
"96528",5680.71328096963
"96529",5395.57727672737
"96530",5221.09644705274
"96531",4979.08794875853
"96532",4901.20679687292
"96533",4631.91305497823
"96534",4505.24485043635
"96535",4368.62441779924
"96536",4369.43428915889
"96537",4331.04611177448
"96538",4323.71080971595
"96539",4312.81861048252
"96540",4332.95851537848
"96541",4535.00837810267
"96542",4688.40901279809
"96543",4838.77110973217
"96544",4834.71826721755
"96545",5143.01515206841
"96546",5346.41536175467
"96547",5428.81711666649
"96548",5467.87308709619
"96549",5422.09421637557
"96550",5322.24080037027
"96551",5253.64509944533
"96552",5230.58362861279
"96553",5356.16345900435
"96554",5265.06847189907
"96555",5267.91491905964
"96556",5307.64880334593
"96557",5479.99771020918
"96558",5627.13529506554
"96559",5688.87675677312
"96560",5770.29137263603
"96561",5903.30084300209
"96562",6044.64428443967
"96563",6433.9849862132
"96564",6711.64619986587
"96565",6911.25938040372
"96566",6800.4915796572
"96567",6631.04840939426
