,x
(Intercept),4742.25
TrainXDataIndex,0.00
TrainXLockDown,-210.55
TrainXCovid,-23.94
TrainXWorkDay,496.11
TrainXDailySin,-517.21
TrainXDailyCos,-278.00
TrainXHalfDailySin,-360.76
TrainXHalfDailyCos,-146.97
TrainXWeeklySin,-88.57
TrainXWeeklyCos,81.71
TrainXMonthlySin,-21.72
TrainXMonthlyCos,-11.01
TrainXSeasonalSin,-34.20
TrainXSeasonalCos,-53.88
TrainXYearlySin,-8.19
TrainXYearlyCos,-315.78
TrainXLockDown_WorkDay,-110.72
TrainXLockDown_DailySin,9.36
TrainXLockDown_DailyCos,237.16
TrainXLockDown_HalfDailySin,-115.83
TrainXLockDown_HalfDailyCos,-51.83
TrainXLockDown_WeeklySin,-32.78
TrainXLockDown_WeeklyCos,-57.11
TrainXLockDown_MonthlySin,-29.04
TrainXLockDown_MonthlyCos,12.84
TrainXLockDown_SeasonalSin,93.03
TrainXLockDown_SeasonalCos,-40.69
TrainXLockDown_YearlySin,-44.95
TrainXLockDown_YearlyCos,-444.03
