"","V1"
"96385",5009.1231784424
"96386",4788.3905388518
"96387",4703.60553458952
"96388",4529.7240096064
"96389",4421.7195384892
"96390",4301.50402326403
"96391",4261.06069703002
"96392",4228.68689640235
"96393",4231.30385376303
"96394",4375.50649654747
"96395",4391.49684551325
"96396",4555.98957055863
"96397",4938.10194949676
"96398",5493.75244350764
"96399",5881.64932167661
"96400",6167.47768752664
"96401",6478.01057979044
"96402",6519.52552581201
"96403",6340.05525437813
"96404",6056.89374248336
"96405",5605.06895487406
"96406",5278.54342523371
"96407",4937.78854929014
"96408",4873.5812104152
"96409",4801.23590884123
"96410",4693.26007859987
"96411",4764.85374496206
"96412",4796.73805370008
"96413",4783.21734374939
"96414",4902.78089190692
"96415",5119.87196479278
"96416",5248.1819172324
"96417",5468.98347924851
"96418",5813.91133887095
"96419",6164.14668211686
"96420",6604.98227415572
"96421",6913.6316035158
"96422",6739.1498476647
"96423",6500.07949796795
"96424",6334.93290064763
"96425",6170.7646533694
"96426",5991.1934618157
"96427",5774.91177262891
"96428",5620.91378876621
"96429",5349.11263697703
"96430",5182.74835780897
"96431",5007.01859125823
"96432",5171.85129682137
"96433",5006.62304632167
"96434",4800.87343356715
"96435",4710.506348279
"96436",4596.07901934523
"96437",4353.31445096156
"96438",4294.09159529805
"96439",4233.55538756187
"96440",4122.35152508613
"96441",4184.43439215659
"96442",4208.86516686283
"96443",4270.25959576263
"96444",4573.28515990312
"96445",4875.63078536376
"96446",5288.29255086231
"96447",5739.83289799593
"96448",5886.68695800835
"96449",6191.61438643436
"96450",6413.49657780094
"96451",6394.12545710852
"96452",6261.80039539275
"96453",6168.61610280525
"96454",5986.8870655846
"96455",5722.59468583897
"96456",5469.95441009032
"96457",5642.1877970295
"96458",5541.69890621962
"96459",5387.89483289322
"96460",5571.46991957589
"96461",5658.45195076138
"96462",5684.17686100997
"96463",5635.42797323393
"96464",5705.21396378446
"96465",6011.02794268649
"96466",6108.93164617378
"96467",6491.85877314932
"96468",6766.6757764276
"96469",6972.54336336173
"96470",6757.71930959587
"96471",6626.83776735571
"96472",6536.04919953593
"96473",6367.08662215425
"96474",6233.43682613781
"96475",5989.28700350645
"96476",5909.17460093362
"96477",5680.52165757293
"96478",5440.31091170619
"96479",5313.2753592805
"96480",5581.36227066236
"96481",4890.1838128656
"96482",5434.25562102718
"96483",4938.25962585759
"96484",4724.77312174367
"96485",4580.92774540211
"96486",4555.7812931818
"96487",4402.69919344374
"96488",4432.89739219471
"96489",4442.84933587874
"96490",4467.90080153578
"96491",4456.34209325753
"96492",4683.21514070901
"96493",4724.44251171902
"96494",4936.78030512979
"96495",5085.79678895751
"96496",5263.96487361708
"96497",5554.13321411594
"96498",5719.10764363211
"96499",5765.96835413939
"96500",5728.18898403731
"96501",5634.1732147903
"96502",5519.8215030369
"96503",5383.68220931683
"96504",5281.5642265018
"96505",5315.1787622106
"96506",5164.15549446997
"96507",5104.13749446273
"96508",5132.08545387424
"96509",5305.78536056983
"96510",5387.99893645567
"96511",5585.34542578799
"96512",5764.78342920849
"96513",5910.10451430852
"96514",6207.71555456453
"96515",6483.55038348194
"96516",6866.72944466361
"96517",7086.89604199294
"96518",6896.95898369032
"96519",6646.76928841721
"96520",6499.48305552242
"96521",6385.0141897738
"96522",6134.30810996186
"96523",6099.18363207256
"96524",5934.40006913952
"96525",5705.88331177204
"96526",5540.47650684469
"96527",5406.7968345979
"96528",5680.9832738125
"96529",5395.40560899659
"96530",5220.89400523669
"96531",4978.78791025483
"96532",4901.1109645601
"96533",4631.63658676932
"96534",4505.05287116581
"96535",4368.40896637541
"96536",4369.34048048861
"96537",4330.87063315672
"96538",4323.42522570234
"96539",4312.33162793135
"96540",4332.25378079306
"96541",4534.30424576561
"96542",4687.49348547203
"96543",4837.60993892607
"96544",4833.07031972727
"96545",5141.47412259166
"96546",5344.72814869783
"96547",5426.85935141201
"96548",5465.71787493885
"96549",5419.74295213761
"96550",5319.76356730935
"96551",5251.2354198064
"96552",5228.40332124915
"96553",5354.49912212635
"96554",5263.55564458993
"96555",5266.82466338066
"96556",5307.04436756511
"96557",5480.06277297432
"96558",5627.7319411783
"96559",5689.81568881653
"96560",5771.58717932441
"96561",5904.97186175116
"96562",6046.60303491296
"96563",6436.52709104482
"96564",6714.38405450022
"96565",6914.00628554103
"96566",6802.74525402014
