"","V1"
"96385",5312.78378829977
"96386",4680.96888078828
"96387",4657.06025316482
"96388",4555.4226123467
"96389",4377.17981590928
"96390",4282.76724494705
"96391",4215.89853839685
"96392",4210.06833246851
"96393",4194.73205962151
"96394",4342.52079909829
"96395",4418.66628047143
"96396",4494.27952019292
"96397",4961.38959817269
"96398",5621.00427437061
"96399",6079.01360834073
"96400",6261.22934304394
"96401",6543.19829627621
"96402",6628.00914323901
"96403",6325.01017429518
"96404",5968.21563076336
"96405",5503.00680841943
"96406",5112.6847254906
"96407",4859.1226729974
"96408",4775.09482515057
"96409",4836.72681975396
"96410",4683.25615183051
"96411",4716.74881445198
"96412",4833.24361176214
"96413",4770.42831119485
"96414",4856.2842640866
"96415",5140.79948139112
"96416",5302.17526284378
"96417",5459.84279627981
"96418",5859.39537017547
"96419",6271.0884810653
"96420",6707.75056471776
"96421",7070.70383618456
"96422",6830.30242116258
"96423",6365.99740064857
"96424",6238.91764572492
"96425",6152.02709426284
"96426",5983.48842667032
"96427",5767.09134579883
"96428",5602.18378288144
"96429",5371.75090118618
"96430",5141.20735645756
"96431",5031.42288779794
"96432",5182.2311120064
"96433",5188.36581774063
"96434",4766.5647167246
"96435",4670.68120209998
"96436",4618.55475511642
"96437",4341.66554009178
"96438",4201.12676007087
"96439",4235.17196414284
"96440",4092.74316770046
"96441",4109.84098698922
"96442",4216.770368241
"96443",4231.95134714344
"96444",4547.49542186207
"96445",4970.03916083583
"96446",5357.96202214572
"96447",5865.98893362831
"96448",6029.37276615518
"96449",6180.98396315761
"96450",6531.19633742318
"96451",6476.06157786304
"96452",6237.2245314714
"96453",6123.72254994566
"96454",5990.14027733524
"96455",5684.05009373698
"96456",5396.3715678685
"96457",5582.71088288813
"96458",5698.7620962416
"96459",5348.26543894155
"96460",5510.43337501592
"96461",5775.77792159923
"96462",5710.00160554436
"96463",5621.74177360936
"96464",5654.1368951833
"96465",6029.24601926607
"96466",6239.34431439224
"96467",6487.88772670796
"96468",6930.88378039161
"96469",7064.13525814833
"96470",6828.29798907967
"96471",6500.6275866748
"96472",6516.03885980474
"96473",6386.98580033415
"96474",6220.82333854557
"96475",6011.47685708685
"96476",5880.20596444411
"96477",5753.96527082744
"96478",5425.32917863031
"96479",5304.54074641993
"96480",5636.38711478609
"96481",5127.11893847925
"96482",5390.43872903904
"96483",5315.65249224761
"96484",4471.26356892391
"96485",4559.99465862165
"96486",4558.45857656212
"96487",4444.21591470347
"96488",4377.44413789171
"96489",4478.16742096729
"96490",4464.24280631106
"96491",4448.07306441005
"96492",4647.88600019149
"96493",4813.69398335688
"96494",4905.32675691543
"96495",5159.3977570452
"96496",5296.82084640206
"96497",5613.69665378331
"96498",5845.43561022107
"96499",5825.43428606349
"96500",5746.41152051534
"96501",5633.56807008176
"96502",5510.8005587028
"96503",5377.79137086801
"96504",5269.56914322195
"96505",5322.11184185825
"96506",5233.51058962661
"96507",5054.31689184654
"96508",5136.47259051849
"96509",5342.9729906675
"96510",5481.81733009372
"96511",5605.69932218256
"96512",5844.68395096652
"96513",5967.87333723126
"96514",6247.68780818954
"96515",6610.83212242666
"96516",6975.63464129672
"96517",7260.46280810668
"96518",6986.10357368775
"96519",6550.05794866278
"96520",6434.64731328917
"96521",6408.78543181644
"96522",6180.76364683556
"96523",6078.22370663987
"96524",6045.89919958288
"96525",5735.95926542972
"96526",5548.61091444156
"96527",5458.62177322506
"96528",5745.70932724012
"96529",5664.01626896567
"96530",5146.30239144903
"96531",4999.9089288566
"96532",4880.05652407818
"96533",4690.69692413483
"96534",4433.53040572982
"96535",4370.75310327855
"96536",4340.28946949045
"96537",4356.20126285547
"96538",4299.71268853106
"96539",4293.7649719958
"96540",4301.05473964421
"96541",4514.97073843346
"96542",4758.97349522367
"96543",4865.41256158484
"96544",4862.95570419452
"96545",5099.34133861202
"96546",5492.37333167948
"96547",5501.50527005723
"96548",5489.58720149116
"96549",5444.39090197706
"96550",5316.61110094122
"96551",5236.3558353395
"96552",5240.85368040147
"96553",5389.25983975352
"96554",5366.6932488997
"96555",5233.66905522095
"96556",5334.57788229016
"96557",5516.2428337426
"96558",5721.29645851977
"96559",5748.32093356405
"96560",5779.01921456502
"96561",5929.36871748699
"96562",6098.7606260933
"96563",6491.04399435105
"96564",6901.98301292023
"96565",7025.13975285863
"96566",6888.21715544751
"96567",6579.74478440039
"96568",6371.86446998015
"96569",6331.74218798012
"96570",6192.77178463521
"96571",5891.12829085943
"96572",5906.09580850222
"96573",5712.78557017559
"96574",5375.82645888
"96575",5281.84040734872
"96576",5530.53362305326
"96577",5973.91798345195
"96578",4784.81149956954
"96579",4596.14977968919
"96580",5063.13850011766
"96581",4700.47293744035
"96582",4561.31133423418
"96583",4469.93082670135
"96584",4506.81611085749
"96585",4544.47943359852
"96586",4643.427585159
"96587",4718.48683583913
"96588",4939.01895012321
"96589",5329.73724157059
"96590",5883.35155965955
"96591",6476.02391918862
"96592",6586.64825005814
"96593",6903.83710965055
"96594",7311.89480438443
"96595",7244.80084458838
"96596",6993.19425426887
"96597",6584.70925155459
"96598",6556.221681369
"96599",6552.78084066957
"96600",6336.24501598885
"96601",6439.91009735915
"96602",6567.08350801204
"96603",6367.22885449531
"96604",6363.6703065439
"96605",6416.71528150632
"96606",6326.95415522862
"96607",6290.34376716473
