"","x"
"1",5052.64275025631
"2",5020.62394507156
"3",4721.90119693689
"4",4559.65822104789
"5",4417.62089280855
"6",4231.41688731318
"7",4178.50112524927
"8",4165.05031821334
"9",4160.96308146812
"10",4163.19146576378
"11",4165.6724132637
"12",4186.2447815407
"13",4230.65822387746
"14",4391.40750211781
"15",4362.71077545729
"16",4396.15139303996
"17",4557.76972450831
"18",4674.47009731144
"19",4721.73425948204
"20",4813.67864691771
"21",4921.34396435456
"22",5089.60757590231
"23",5187.6061219929
"24",5270.86824005825
"25",5365.66803320365
"26",5431.5934589147
"27",5454.22441106691
"28",5483.28090884429
"29",5577.24700248889
"30",5583.51802689199
"31",5688.84855397092
"32",5694.78333667973
"33",5656.86556674139
"34",5614.51465718878
"35",5470.94792013802
"36",5348.43280908902
"37",5117.34700853397
"38",5000.9629347837
"39",4821.17296055898
"40",4792.00930306925
"41",4737.44853153877
"42",4805.18833990352
"43",4468.73910202706
"44",4342.89720393333
"45",4176.767022803
"46",4177.45933986216
"47",4153.48685699563
"48",4628.50762198897
"49",3914.7333577726
"50",4318.41136569761
"51",3850.82573713911
"52",3750.80427491566
"53",3599.91025717534
"54",3555.03865342326
"55",3468.45101441286
"56",3482.99986155141
"57",3455.59357516297
"58",3521.48301100025
"59",3557.45812447722
"60",3628.33802498537
"61",3658.89897009962
"62",3787.00833090042
"63",3921.30546617474
"64",3871.28033035434
"65",4041.85923666698
"66",4085.31646733652
"67",4055.34198564604
"68",4094.01454599466
"69",4120.87579292321
"70",4084.62936116772
"71",4162.51528862513
"72",4183.17846364354
"73",4224.87456928627
"74",4330.02988370542
"75",4313.16616262426
"76",4458.28033643225
"77",4485.81685061396
"78",4631.16861485169
"79",4713.22391243799
"80",4869.21142964926
"81",4950.97218662493
"82",4924.72856741942
"83",4942.84036756587
"84",4849.04504591739
"85",4757.17468909094
"86",4559.14444354081
"87",4486.2758413988
"88",4279.66796717486
"89",4321.61045141209
"90",4409.92165161894
"91",4240.0412711522
"92",4067.37249968044
"93",3882.68578674631
"94",3937.82101502523
"95",3937.55472648537
"96",4423.03537965632
"97",4297.92216260889
"98",3830.74429152633
"99",3690.90476792941
"100",3581.48367009222
"101",3444.47809857177
"102",3405.36870366172
"103",3414.45417925845
"104",3388.24782436082
"105",3371.94044887364
"106",3431.0270775642
"107",3446.71048187483
"108",3453.86449443452
"109",3438.79739684667
"110",3634.5681647537
"111",3654.94015522735
"112",3632.09343246248
"113",3776.32597553789
"114",3907.72356218116
"115",3971.71594450021
"116",4048.51574359808
"117",4097.88172909494
"118",4165.93309772014
"119",4218.23228171966
"120",4275.88477462003
"121",4375.18798760225
"122",4373.24909372512
"123",4392.6378736732
"124",4414.49377498994
"125",4453.32579848794
"126",4568.73625864727
"127",4683.91307751568
"128",4769.03018045151
"129",4764.99047774384
"130",4681.82446448374
"131",4681.30352056767
"132",4660.15198879414
"133",4528.70239643373
"134",4367.77360662683
"135",4342.47656451917
"136",4269.35835295954
"137",4381.23346877176
"138",4464.87971014004
"139",4331.46292136492
"140",4146.54194037943
"141",4010.96808023261
"142",3977.41967213636
"143",3966.77936471435
"144",4441.39217088146
"145",4848.55945164447
"146",3663.12667535852
"147",3872.48209837993
"148",3740.25285191705
"149",3700.38655258701
"150",3591.54891787791
"151",3565.43563775938
"152",3676.25402572823
"153",3670.07835174409
"154",3820.06118783078
"155",3977.17088417326
"156",4158.51809568855
"157",4366.79921404277
"158",4755.85562095514
"159",4953.71869914303
"160",4915.51929587783
"161",5093.04495510282
"162",5120.4084015681
"163",5131.44943543131
"164",5088.02468854905
"165",5093.94316792857
"166",5070.62176582871
"167",5074.36813224567
"168",5151.3575316173
"169",5098.4083072111
"170",5059.04597996719
"171",5115.71226553984
"172",5134.99601584074
"173",5151.71626534421
"174",5184.02549609512
"175",5205.73147666517
"176",5187.09870842024
"177",5314.47062177925
"178",5313.64369662851
"179",5273.16291005309
"180",5048.08712385006
"181",4940.70345643154
"182",4740.72361354732
"183",4659.09639968579
"184",4548.39826976474
"185",4649.72181370101
"186",4685.49933992862
"187",4573.85712169624
"188",4335.60638342281
"189",4141.05112234718
"190",4144.6388871206
"191",4124.0436761009
"192",4734.02350549893
"193",4575.29299086533
"194",4191.87474265392
"195",4068.94385008795
"196",3947.58176819467
"197",3841.80759381451
"198",3823.74278011072
"199",3791.78090075755
"200",3845.43094407242
"201",3908.39909518461
"202",4056.05927715695
"203",4141.76322792154
"204",4424.25139182808
"205",4579.94592651598
"206",4860.68400916675
"207",5021.80385895268
"208",4947.8400596714
"209",5163.21774861107
"210",5184.70449554807
"211",5195.057460763
"212",5166.64888149733
"213",5198.70463877059
"214",5290.98984428072
"215",5350.71636649481
"216",5477.90438117973
"217",5496.3177469824
"218",5473.70324403669
"219",5523.64557649773
"220",5596.40621107181
"221",5656.88057576342
"222",5654.8838847267
"223",5618.54528677867
"224",5665.37243893815
"225",5693.03056755956
"226",5702.0031497822
"227",5593.33261797501
"228",5466.26112872999
"229",5358.53727479545
"230",5231.24380095362
"231",5132.56531885729
"232",5040.98555740716
"233",5033.15878933287
"234",5030.3200593528
"235",4890.8773649053
"236",4600.9638414041
"237",4445.7341333434
"238",4464.54486808252
"239",4446.15091839795
"240",4978.84325080131
"241",4775.5063415982
"242",4340.63101498938
"243",4240.42250809329
"244",4149.46421115883
"245",3990.51324399818
"246",3957.19978241515
"247",3855.59984274536
"248",3901.24980502626
"249",3930.33364143758
"250",4085.21696125385
"251",4182.69313147212
"252",4453.63060898095
"253",4652.22311568718
"254",4939.20811320254
"255",5129.32523607267
"256",4964.52259618859
"257",5153.13817589574
"258",5117.03600511598
"259",4739.43268568075
"260",5185.29690984041
"261",5324.14682133865
"262",5222.11242274017
"263",5264.62432504517
"264",5226.3297816591
"265",5197.27808336288
"266",5280.40869204242
"267",5311.41717432404
"268",5263.23586394814
"269",5254.78000652362
"270",5284.5807243331
"271",5442.04305400549
"272",5447.71022652087
"273",5509.0682504055
"274",5506.42840006198
"275",5427.8212400776
"276",5210.40470004231
"277",5142.06659042748
"278",4959.66793153559
"279",4829.20518611273
"280",4702.20701899869
"281",4732.72480895041
