"","TestY",""
"96385",4952.6,5313.44424300674
"96386",4819.6,4680.0972703746
"96387",4650.3,4656.8119982171
"96388",4507.9,4555.37971170905
"96389",4368,4376.97473371134
"96390",4279.9,4282.64217718534
"96391",4217.8,4215.74391307166
"96392",4189.1,4209.94816902595
"96393",4264.6,4194.47749521954
"96394",4301,4342.36556349476
"96395",4418,4418.38533830283
"96396",4706.1,4493.72106268394
"96397",5172.5,4961.3613496273
"96398",5603.3,5621.4622667984
"96399",5956.4,6079.29527363334
"96400",6295.4,6260.84005759017
"96401",6458.4,6542.74436314486
"96402",6412.3,6627.35741615082
"96403",6218.2,6323.63943456891
"96404",5858.4,5966.59953926668
"96405",5512.2,5501.30756996887
"96406",5160.9,5111.16298860896
"96407",4981.6,4858.13385829528
"96408",4862.9,4774.61938450748
"96409",4744.1,4836.89522279856
"96410",4738.3,4683.28729628033
"96411",4750.9,4717.03936331413
"96412",4741.8,4833.90530872002
"96413",4809,4770.88323155512
"96414",4968.6,4856.87245875116
"96415",5109.1,5141.81072623172
"96416",5302.3,5303.11367996231
"96417",5596.5,5460.59631179228
"96418",5935.3,5860.46021916551
"96419",6350.8,6272.24715898008
"96420",6714.1,6708.85820396604
"96421",6752.1,7071.65208547153
"96422",6623.4,6830.10815928777
"96423",6477.3,6364.79963352594
"96424",6325.3,6238.02278043004
"96425",6161,6151.40336550063
"96426",5967.9,5982.82470485119
"96427",5801.9,5766.34020994009
"96428",5570.2,5601.49198570537
"96429",5377.9,5371.06805551893
"96430",5193,5140.49169764722
"96431",5224.9,5031.03139234089
"96432",5130,5182.36981957723
"96433",4958.1,5188.69673160207
"96434",4827.8,4766.02933678222
"96435",4697.3,4670.43315346473
"96436",4484.6,4618.57679525148
"96437",4356,4341.36571953593
"96438",4259.6,4200.80350915152
"96439",4144.3,4235.18471636336
"96440",4132.6,4092.45167609393
"96441",4138.8,4109.53917112391
"96442",4177,4216.5996038857
"96443",4382.6,4231.48937158442
"96444",4654.7,4547.3057452655
"96445",5024.2,4970.13718035174
"96446",5457.6,5357.94493388399
"96447",5723.6,5866.11524777288
"96448",6025.1,6028.98951937682
"96449",6287.9,6180.24030557794
"96450",6382.3,6530.88882376983
