"","x"
"1",5055.19921284456
"2",5018.86865272638
"3",4721.57761102731
"4",4559.40177019463
"5",4417.46796828695
"6",4231.18387771477
"7",4178.40660592548
"8",4164.99819210808
"9",4160.89093412424
"10",4162.98648157558
"11",4165.2870216603
"12",4185.61420640191
"13",4229.78716295604
"14",4390.39974577175
"15",4361.22229941698
"16",4394.3169180096
"17",4555.84304373911
"18",4672.33629673765
"19",4719.35884334442
"20",4811.22701602289
"21",4918.93164726358
"22",5087.39757419876
"23",5185.55602211654
"24",5269.05420753691
"25",5364.20687913755
"26",5430.50244281019
"27",5453.49313221604
"28",5482.97527839001
"29",5577.4727076013
"30",5584.10142567884
"31",5689.92196983091
"32",5696.12173333522
"33",5658.34776452555
"34",5616.11264507575
"35",5472.43110755484
"36",5349.8203207455
"37",5118.41171534311
"38",5001.87832190788
"39",4821.76904236572
"40",4792.49752038804
"41",4737.71997830681
"42",4805.41301127478
"43",4468.25637258161
"44",4342.22714012941
"45",4175.87918092432
"46",4176.65728451099
"47",4152.70516317755
"48",4628.55213437655
"49",3923.60677216638
"50",4313.30986851086
"51",3850.96551013061
"52",3750.68657546023
"53",3600.16557299971
"54",3555.13585797968
"55",3468.80688346053
"56",3483.21786036566
"57",3455.9168714865
"58",3521.62996768365
"59",3557.57120227048
"60",3628.15839922871
"61",3658.50019721692
"62",3786.35767306109
"63",3920.4821672598
"64",3869.88704412863
"65",4040.40612067022
"66",4083.54854289254
"67",4053.24365394203
"68",4091.82489607766
"69",4118.63863202682
"70",4082.35562751082
"71",4160.47899409222
"72",4181.36948669197
"73",4223.37036146243
"74",4329.02817305323
"75",4312.44797773408
"76",4458.20146399978
"77",4486.10894860158
"78",4632.05279454938
"79",4714.49634979157
"80",4870.97036219723
"81",4952.97586478927
"82",4926.79147674054
"83",4944.97562829681
"84",4851.05640852254
"85",4758.99531624929
"86",4560.63190289792
"87",4487.57806073609
"88",4280.57604223795
"89",4322.47999685649
"90",4410.79558425975
"91",4240.41480169571
"92",4067.42347673109
"93",3882.45392789855
"94",3937.77844988673
"95",3937.54012187433
"96",4423.83898981117
"97",4298.3994956832
"98",3830.58014625931
"99",3690.88688602474
"100",3581.62399550212
"101",3444.6384073203
"102",3405.70392014815
"103",3414.90435537932
"104",3388.69754095911
"105",3372.29416891697
"106",3431.37638932519
"107",3446.83664763703
"108",3453.74418909488
"109",3438.31070407597
"110",3634.0648160683
"111",3653.99637438582
"112",3630.72490997141
"113",3774.82205698912
"114",3906.08761736005
"115",3969.83253636297
"116",4046.55652329114
"117",4095.84695486413
"118",4164.00618011291
"119",4216.43097178607
"120",4274.35690052227
"121",4374.02812584125
"122",4372.39022361847
"123",4392.14835904998
"124",4414.45971607554
"125",4453.72876108139
"126",4569.71316190833
"127",4685.34383783186
"128",4770.83336711228
"129",4766.934699992
"130",4683.79223601391
"131",4683.37157660661
"132",4662.2275839463
"133",4530.51401809087
"134",4369.29922504387
"135",4343.89342169463
"136",4270.53710296389
"137",4382.42028001237
"138",4465.97585036699
"139",4332.10333641808
"140",4146.79879189598
"141",4011.02133002929
"142",3977.48869759575
"143",3966.89721830112
"144",4442.32348375856
"145",4839.94717625291
"146",3667.47857285905
"147",3871.85718429264
"148",3740.14155560256
"149",3700.05552560606
"150",3591.57350882476
"151",3565.23030761959
"152",3676.54507159543
"153",3670.00262326736
"154",3820.28225401232
"155",3977.16006751376
"156",4158.58031776571
"157",4366.58349885492
"158",4755.86909706693
"159",4953.3019149719
"160",4914.58272179807
"161",5091.88934754051
"162",5118.98765019836
"163",5129.67431733173
"164",5086.07764366622
"165",5091.88611868165
"166",5068.61607828521
"167",5072.45030362478
"168",5149.81069822433
"169",5096.99235830687
"170",5057.95082302242
"171",5115.09723394796
"172",5134.82696998001
"173",5151.95373069938
"174",5184.71012875283
"175",5206.77623407231
"176",5188.40957528772
"177",5316.20949603067
"178",5315.49126162206
"179",5274.9968952106
"180",5049.59626703264
"181",4942.09271055909
"182",4741.78731429822
"183",4660.00075236864
"184",4549.03065699313
"185",4650.39458339585
"186",4686.00556298627
"187",4573.98861758567
"188",4335.25156134032
"189",4140.44527232114
"190",4144.12105046345
"191",4123.5804220777
"192",4734.55450046117
"193",4575.42628510764
"194",4191.44235667875
"195",4068.67814566736
"196",3947.38239284831
"197",3841.70356965769
"198",3823.79009882097
"199",3791.8875980724
"200",3845.63745254515
"201",3908.62275984562
"202",4056.32811441845
"203",4141.86952200469
"204",4424.44543098725
"205",4579.89366982154
"206",4860.56591608882
"207",5021.3688993604
"208",4946.77385616302
"209",5162.10407182461
"210",5183.24124365204
"211",5193.29247252751
"212",5164.68502526399
"213",5196.70151775117
"214",5289.1631303741
"215",5349.02729620732
"216",5476.58014952034
"217",5495.20524652854
"218",5472.86497656603
"219",5523.2540295525
"220",5596.5236907847
"221",5657.44614252987
"222",5655.80288893869
"223",5619.73549727004
"224",5666.95829485117
"225",5694.86956180532
"226",5704.00125329341
"227",5595.22442320342
"228",5468.01444076077
"229",5360.13558448961
"230",5232.61377291828
"231",5133.70099843042
"232",5041.87517777283
"233",5033.8946995144
"234",5030.88916029212
"235",4891.05126036852
"236",4600.61946836928
"237",4445.21055159779
"238",4464.15532511118
"239",4445.7769571621
"240",4979.36825655479
"241",4775.5665434566
"242",4340.11481357319
"243",4240.11478666167
"244",4149.30550992329
"245",3990.32265139063
"246",3957.18247019113
"247",3855.52519212513
"248",3901.32454471729
"249",3930.37220198579
"250",4085.35554864464
"251",4182.6729780642
"252",4453.695801391
"253",4652.08998973316
"254",4939.02025960962
"255",5128.83035565664
"256",4963.2585378825
"257",5151.79835603028
"258",5115.30875070672
"259",4736.82552672466
"260",5183.43782731867
"261",5322.27504813557
"262",5219.98700318918
"263",5262.65309934842
"264",5224.5153252818
"265",5195.67205341649
"266",5279.32957660596
"267",5310.70347553128
"268",5262.86372634874
"269",5254.7824569029
"270",5285.07219239686
"271",5443.08639877521
"272",5449.02196460761
"273",5510.63179491324
"274",5508.14273776209
"275",5429.44172825753
"276",5211.75883019038
"277",5143.33816319521
"278",4960.64831425685
"279",4829.90565462326
"280",4702.65127663937
"281",4733.09014095005
"282",4780.8638945243
"283",4573.42433145943
"284",4417.2725209377
"285",4186.92640508379
"286",4169.85472385828
"287",4189.64084613696
"288",4592.81810075828
